"pf"	"scenario"
"1812"	"Parameters bottom-up 2628 10_06_2020 18_12.txt"	"bottom-up"
"1813"	"Parameters bottom-up 2629 10_06_2020 18_12.txt"	"bottom-up"
"1814"	"Parameters bottom-up 263 10_06_2020 18_00.txt"	"bottom-up"
"1815"	"Parameters bottom-up 2630 10_06_2020 18_12.txt"	"bottom-up"
"1816"	"Parameters bottom-up 2631 10_06_2020 18_12.txt"	"bottom-up"
"1817"	"Parameters bottom-up 2632 10_06_2020 18_12.txt"	"bottom-up"
"1818"	"Parameters bottom-up 2633 10_06_2020 18_12.txt"	"bottom-up"
"1819"	"Parameters bottom-up 2634 10_06_2020 18_12.txt"	"bottom-up"
"1820"	"Parameters bottom-up 2635 10_06_2020 18_12.txt"	"bottom-up"
"1821"	"Parameters bottom-up 2636 10_06_2020 18_12.txt"	"bottom-up"
"1822"	"Parameters bottom-up 2637 10_06_2020 18_12.txt"	"bottom-up"
"1823"	"Parameters bottom-up 2638 10_06_2020 18_12.txt"	"bottom-up"
"1824"	"Parameters bottom-up 2639 10_06_2020 18_12.txt"	"bottom-up"
"1825"	"Parameters bottom-up 264 10_06_2020 18_00.txt"	"bottom-up"
"1826"	"Parameters bottom-up 2640 10_06_2020 18_12.txt"	"bottom-up"
"1827"	"Parameters bottom-up 2641 10_06_2020 18_12.txt"	"bottom-up"
"1828"	"Parameters bottom-up 2642 10_06_2020 18_12.txt"	"bottom-up"
"1829"	"Parameters bottom-up 2643 10_06_2020 18_12.txt"	"bottom-up"
"1830"	"Parameters bottom-up 2644 10_06_2020 18_12.txt"	"bottom-up"
"1831"	"Parameters bottom-up 2645 10_06_2020 18_12.txt"	"bottom-up"
"1832"	"Parameters bottom-up 2646 10_06_2020 18_12.txt"	"bottom-up"
"1833"	"Parameters bottom-up 2647 10_06_2020 18_12.txt"	"bottom-up"
"1834"	"Parameters bottom-up 2648 10_06_2020 18_12.txt"	"bottom-up"
"1835"	"Parameters bottom-up 2649 10_06_2020 18_12.txt"	"bottom-up"
"1836"	"Parameters bottom-up 265 10_06_2020 18_00.txt"	"bottom-up"
"1837"	"Parameters bottom-up 2650 10_06_2020 18_12.txt"	"bottom-up"
"1838"	"Parameters bottom-up 2651 10_06_2020 18_12.txt"	"bottom-up"
"1839"	"Parameters bottom-up 2652 10_06_2020 18_12.txt"	"bottom-up"
"1840"	"Parameters bottom-up 2653 10_06_2020 18_12.txt"	"bottom-up"
"1841"	"Parameters bottom-up 2654 10_06_2020 18_12.txt"	"bottom-up"
"1842"	"Parameters bottom-up 2655 10_06_2020 18_12.txt"	"bottom-up"
"1843"	"Parameters bottom-up 2656 10_06_2020 18_12.txt"	"bottom-up"
"1844"	"Parameters bottom-up 2657 10_06_2020 18_12.txt"	"bottom-up"
"1845"	"Parameters bottom-up 2658 10_06_2020 18_12.txt"	"bottom-up"
"1846"	"Parameters bottom-up 2659 10_06_2020 18_12.txt"	"bottom-up"
"1847"	"Parameters bottom-up 266 10_06_2020 18_00.txt"	"bottom-up"
"1848"	"Parameters bottom-up 2660 10_06_2020 18_12.txt"	"bottom-up"
"1849"	"Parameters bottom-up 2661 10_06_2020 18_12.txt"	"bottom-up"
"1850"	"Parameters bottom-up 2662 10_06_2020 18_12.txt"	"bottom-up"
"1851"	"Parameters bottom-up 2663 10_06_2020 18_12.txt"	"bottom-up"
"1852"	"Parameters bottom-up 2664 10_06_2020 18_12.txt"	"bottom-up"
"1853"	"Parameters bottom-up 2665 10_06_2020 18_12.txt"	"bottom-up"
"1854"	"Parameters bottom-up 2666 10_06_2020 18_12.txt"	"bottom-up"
"1855"	"Parameters bottom-up 2667 10_06_2020 18_12.txt"	"bottom-up"
"1856"	"Parameters bottom-up 2668 10_06_2020 18_12.txt"	"bottom-up"
"1857"	"Parameters bottom-up 2669 10_06_2020 18_12.txt"	"bottom-up"
"1858"	"Parameters bottom-up 267 10_06_2020 18_00.txt"	"bottom-up"
"1859"	"Parameters bottom-up 2670 10_06_2020 18_12.txt"	"bottom-up"
"1860"	"Parameters bottom-up 2671 10_06_2020 18_12.txt"	"bottom-up"
"1861"	"Parameters bottom-up 2672 10_06_2020 18_12.txt"	"bottom-up"
"1862"	"Parameters bottom-up 2673 10_06_2020 18_12.txt"	"bottom-up"
"1863"	"Parameters bottom-up 2674 10_06_2020 18_12.txt"	"bottom-up"
"1864"	"Parameters bottom-up 2675 10_06_2020 18_12.txt"	"bottom-up"
"1865"	"Parameters bottom-up 2676 10_06_2020 18_12.txt"	"bottom-up"
"1866"	"Parameters bottom-up 2677 10_06_2020 18_12.txt"	"bottom-up"
"1867"	"Parameters bottom-up 2678 10_06_2020 18_12.txt"	"bottom-up"
"1868"	"Parameters bottom-up 2679 10_06_2020 18_12.txt"	"bottom-up"
"1869"	"Parameters bottom-up 268 10_06_2020 18_00.txt"	"bottom-up"
"1870"	"Parameters bottom-up 2680 10_06_2020 18_12.txt"	"bottom-up"
"1871"	"Parameters bottom-up 2681 10_06_2020 18_12.txt"	"bottom-up"
"1872"	"Parameters bottom-up 2682 10_06_2020 18_12.txt"	"bottom-up"
"1873"	"Parameters bottom-up 2683 10_06_2020 18_12.txt"	"bottom-up"
"1874"	"Parameters bottom-up 2684 10_06_2020 18_12.txt"	"bottom-up"
"1875"	"Parameters bottom-up 2685 10_06_2020 18_12.txt"	"bottom-up"
"1876"	"Parameters bottom-up 2686 10_06_2020 18_12.txt"	"bottom-up"
"1877"	"Parameters bottom-up 2687 10_06_2020 18_12.txt"	"bottom-up"
"1878"	"Parameters bottom-up 2688 10_06_2020 18_12.txt"	"bottom-up"
"1879"	"Parameters bottom-up 2689 10_06_2020 18_12.txt"	"bottom-up"
"1880"	"Parameters bottom-up 269 10_06_2020 18_00.txt"	"bottom-up"
"1881"	"Parameters bottom-up 2690 10_06_2020 18_12.txt"	"bottom-up"
"1882"	"Parameters bottom-up 2691 10_06_2020 18_12.txt"	"bottom-up"
"1883"	"Parameters bottom-up 2692 10_06_2020 18_12.txt"	"bottom-up"
"1884"	"Parameters bottom-up 2693 10_06_2020 18_12.txt"	"bottom-up"
"1885"	"Parameters bottom-up 2694 10_06_2020 18_13.txt"	"bottom-up"
"1886"	"Parameters bottom-up 2695 10_06_2020 18_13.txt"	"bottom-up"
"1887"	"Parameters bottom-up 2696 10_06_2020 18_13.txt"	"bottom-up"
"1888"	"Parameters bottom-up 2697 10_06_2020 18_13.txt"	"bottom-up"
"1889"	"Parameters bottom-up 2698 10_06_2020 18_13.txt"	"bottom-up"
"1890"	"Parameters bottom-up 2699 10_06_2020 18_13.txt"	"bottom-up"
"1891"	"Parameters bottom-up 27 10_06_2020 17_59.txt"	"bottom-up"
"1892"	"Parameters bottom-up 270 10_06_2020 18_00.txt"	"bottom-up"
"1893"	"Parameters bottom-up 2700 10_06_2020 18_13.txt"	"bottom-up"
"1894"	"Parameters bottom-up 2701 10_06_2020 18_13.txt"	"bottom-up"
"1895"	"Parameters bottom-up 2702 10_06_2020 18_13.txt"	"bottom-up"
"1896"	"Parameters bottom-up 2703 10_06_2020 18_13.txt"	"bottom-up"
"1897"	"Parameters bottom-up 2704 10_06_2020 18_13.txt"	"bottom-up"
"1898"	"Parameters bottom-up 2705 10_06_2020 18_13.txt"	"bottom-up"
"1899"	"Parameters bottom-up 2706 10_06_2020 18_13.txt"	"bottom-up"
"1900"	"Parameters bottom-up 2707 10_06_2020 18_13.txt"	"bottom-up"
"1901"	"Parameters bottom-up 2708 10_06_2020 18_13.txt"	"bottom-up"
"1902"	"Parameters bottom-up 2709 10_06_2020 18_13.txt"	"bottom-up"
"1903"	"Parameters bottom-up 271 10_06_2020 18_00.txt"	"bottom-up"
"1904"	"Parameters bottom-up 2710 10_06_2020 18_13.txt"	"bottom-up"
"1905"	"Parameters bottom-up 2711 10_06_2020 18_13.txt"	"bottom-up"
"1906"	"Parameters bottom-up 2712 10_06_2020 18_13.txt"	"bottom-up"
"1907"	"Parameters bottom-up 2713 10_06_2020 18_13.txt"	"bottom-up"
"1908"	"Parameters bottom-up 2714 10_06_2020 18_13.txt"	"bottom-up"
"1909"	"Parameters bottom-up 2715 10_06_2020 18_13.txt"	"bottom-up"
"1910"	"Parameters bottom-up 2716 10_06_2020 18_13.txt"	"bottom-up"
"1911"	"Parameters bottom-up 2717 10_06_2020 18_13.txt"	"bottom-up"
"1912"	"Parameters bottom-up 2718 10_06_2020 18_13.txt"	"bottom-up"
"1913"	"Parameters bottom-up 2719 10_06_2020 18_13.txt"	"bottom-up"
"1914"	"Parameters bottom-up 272 10_06_2020 18_00.txt"	"bottom-up"
"1915"	"Parameters bottom-up 2720 10_06_2020 18_13.txt"	"bottom-up"
"1916"	"Parameters bottom-up 2721 10_06_2020 18_13.txt"	"bottom-up"
"1917"	"Parameters bottom-up 2722 10_06_2020 18_13.txt"	"bottom-up"
"1918"	"Parameters bottom-up 2723 10_06_2020 18_13.txt"	"bottom-up"
"1919"	"Parameters bottom-up 2724 10_06_2020 18_13.txt"	"bottom-up"
"1920"	"Parameters bottom-up 2725 10_06_2020 18_13.txt"	"bottom-up"
"1921"	"Parameters bottom-up 2726 10_06_2020 18_13.txt"	"bottom-up"
"1922"	"Parameters bottom-up 2727 10_06_2020 18_13.txt"	"bottom-up"
"1923"	"Parameters bottom-up 2728 10_06_2020 18_13.txt"	"bottom-up"
"1924"	"Parameters bottom-up 2729 10_06_2020 18_13.txt"	"bottom-up"
"1925"	"Parameters bottom-up 273 10_06_2020 18_00.txt"	"bottom-up"
"1926"	"Parameters bottom-up 2730 10_06_2020 18_13.txt"	"bottom-up"
"1927"	"Parameters bottom-up 2731 10_06_2020 18_13.txt"	"bottom-up"
"1928"	"Parameters bottom-up 2732 10_06_2020 18_13.txt"	"bottom-up"
"1929"	"Parameters bottom-up 2733 10_06_2020 18_13.txt"	"bottom-up"
"1930"	"Parameters bottom-up 2734 10_06_2020 18_13.txt"	"bottom-up"
"1931"	"Parameters bottom-up 2735 10_06_2020 18_13.txt"	"bottom-up"
"1932"	"Parameters bottom-up 2736 10_06_2020 18_13.txt"	"bottom-up"
"1933"	"Parameters bottom-up 2737 10_06_2020 18_13.txt"	"bottom-up"
"1934"	"Parameters bottom-up 2738 10_06_2020 18_13.txt"	"bottom-up"
"1935"	"Parameters bottom-up 2739 10_06_2020 18_13.txt"	"bottom-up"
"1936"	"Parameters bottom-up 274 10_06_2020 18_00.txt"	"bottom-up"
"1937"	"Parameters bottom-up 2740 10_06_2020 18_13.txt"	"bottom-up"
"1938"	"Parameters bottom-up 2741 10_06_2020 18_13.txt"	"bottom-up"
"1939"	"Parameters bottom-up 2742 10_06_2020 18_13.txt"	"bottom-up"
"1940"	"Parameters bottom-up 2743 10_06_2020 18_13.txt"	"bottom-up"
"1941"	"Parameters bottom-up 2744 10_06_2020 18_13.txt"	"bottom-up"
"1942"	"Parameters bottom-up 2745 10_06_2020 18_13.txt"	"bottom-up"
"1943"	"Parameters bottom-up 2746 10_06_2020 18_13.txt"	"bottom-up"
"1944"	"Parameters bottom-up 2747 10_06_2020 18_13.txt"	"bottom-up"
"1945"	"Parameters bottom-up 2748 10_06_2020 18_13.txt"	"bottom-up"
"1946"	"Parameters bottom-up 2749 10_06_2020 18_13.txt"	"bottom-up"
"1947"	"Parameters bottom-up 275 10_06_2020 18_00.txt"	"bottom-up"
"1948"	"Parameters bottom-up 2750 10_06_2020 18_13.txt"	"bottom-up"
"1949"	"Parameters bottom-up 2751 10_06_2020 18_13.txt"	"bottom-up"
"1950"	"Parameters bottom-up 2752 10_06_2020 18_13.txt"	"bottom-up"
"1951"	"Parameters bottom-up 2753 10_06_2020 18_13.txt"	"bottom-up"
"1952"	"Parameters bottom-up 2754 10_06_2020 18_13.txt"	"bottom-up"
"1953"	"Parameters bottom-up 2755 10_06_2020 18_13.txt"	"bottom-up"
"1954"	"Parameters bottom-up 2756 10_06_2020 18_13.txt"	"bottom-up"
"1955"	"Parameters bottom-up 2757 10_06_2020 18_13.txt"	"bottom-up"
"1956"	"Parameters bottom-up 2758 10_06_2020 18_13.txt"	"bottom-up"
"1957"	"Parameters bottom-up 2759 10_06_2020 18_13.txt"	"bottom-up"
"1958"	"Parameters bottom-up 276 10_06_2020 18_00.txt"	"bottom-up"
"1959"	"Parameters bottom-up 2760 10_06_2020 18_13.txt"	"bottom-up"
"1960"	"Parameters bottom-up 2761 10_06_2020 18_13.txt"	"bottom-up"
"1961"	"Parameters bottom-up 2762 10_06_2020 18_13.txt"	"bottom-up"
"1962"	"Parameters bottom-up 2763 10_06_2020 18_13.txt"	"bottom-up"
"1963"	"Parameters bottom-up 2764 10_06_2020 18_13.txt"	"bottom-up"
"1964"	"Parameters bottom-up 2765 10_06_2020 18_13.txt"	"bottom-up"
"1965"	"Parameters bottom-up 2766 10_06_2020 18_13.txt"	"bottom-up"
"1966"	"Parameters bottom-up 2767 10_06_2020 18_13.txt"	"bottom-up"
"1967"	"Parameters bottom-up 2768 10_06_2020 18_13.txt"	"bottom-up"
"1968"	"Parameters bottom-up 2769 10_06_2020 18_13.txt"	"bottom-up"
"1969"	"Parameters bottom-up 277 10_06_2020 18_00.txt"	"bottom-up"
"1970"	"Parameters bottom-up 2770 10_06_2020 18_13.txt"	"bottom-up"
"1971"	"Parameters bottom-up 2771 10_06_2020 18_13.txt"	"bottom-up"
"1972"	"Parameters bottom-up 2772 10_06_2020 18_13.txt"	"bottom-up"
"1973"	"Parameters bottom-up 2773 10_06_2020 18_13.txt"	"bottom-up"
"1974"	"Parameters bottom-up 2774 10_06_2020 18_13.txt"	"bottom-up"
"1975"	"Parameters bottom-up 2775 10_06_2020 18_13.txt"	"bottom-up"
"1976"	"Parameters bottom-up 2776 10_06_2020 18_13.txt"	"bottom-up"
"1977"	"Parameters bottom-up 2777 10_06_2020 18_13.txt"	"bottom-up"
"1978"	"Parameters bottom-up 2778 10_06_2020 18_13.txt"	"bottom-up"
"1979"	"Parameters bottom-up 2779 10_06_2020 18_13.txt"	"bottom-up"
"1980"	"Parameters bottom-up 278 10_06_2020 18_00.txt"	"bottom-up"
"1981"	"Parameters bottom-up 2780 10_06_2020 18_13.txt"	"bottom-up"
"1982"	"Parameters bottom-up 2781 10_06_2020 18_13.txt"	"bottom-up"
"1983"	"Parameters bottom-up 2782 10_06_2020 18_13.txt"	"bottom-up"
"1984"	"Parameters bottom-up 2783 10_06_2020 18_13.txt"	"bottom-up"
"1985"	"Parameters bottom-up 2784 10_06_2020 18_13.txt"	"bottom-up"
"1986"	"Parameters bottom-up 2785 10_06_2020 18_13.txt"	"bottom-up"
"1987"	"Parameters bottom-up 2786 10_06_2020 18_13.txt"	"bottom-up"
"1988"	"Parameters bottom-up 2787 10_06_2020 18_13.txt"	"bottom-up"
"1989"	"Parameters bottom-up 2788 10_06_2020 18_13.txt"	"bottom-up"
"1990"	"Parameters bottom-up 2789 10_06_2020 18_13.txt"	"bottom-up"
"1991"	"Parameters bottom-up 279 10_06_2020 18_00.txt"	"bottom-up"
"1992"	"Parameters bottom-up 2790 10_06_2020 18_13.txt"	"bottom-up"
"1993"	"Parameters bottom-up 2791 10_06_2020 18_13.txt"	"bottom-up"
"1994"	"Parameters bottom-up 2792 10_06_2020 18_13.txt"	"bottom-up"
"1995"	"Parameters bottom-up 2793 10_06_2020 18_13.txt"	"bottom-up"
"1996"	"Parameters bottom-up 2794 10_06_2020 18_13.txt"	"bottom-up"
"1997"	"Parameters bottom-up 2795 10_06_2020 18_13.txt"	"bottom-up"
"1998"	"Parameters bottom-up 2796 10_06_2020 18_13.txt"	"bottom-up"
"1999"	"Parameters bottom-up 2797 10_06_2020 18_13.txt"	"bottom-up"
"2000"	"Parameters bottom-up 2798 10_06_2020 18_13.txt"	"bottom-up"
"2001"	"Parameters bottom-up 2799 10_06_2020 18_13.txt"	"bottom-up"
"2002"	"Parameters bottom-up 28 10_06_2020 17_59.txt"	"bottom-up"
"2003"	"Parameters bottom-up 280 10_06_2020 18_00.txt"	"bottom-up"
"2004"	"Parameters bottom-up 2800 10_06_2020 18_13.txt"	"bottom-up"
"2005"	"Parameters bottom-up 2801 10_06_2020 18_13.txt"	"bottom-up"
"2006"	"Parameters bottom-up 2802 10_06_2020 18_13.txt"	"bottom-up"
"2007"	"Parameters bottom-up 2803 10_06_2020 18_13.txt"	"bottom-up"
"2008"	"Parameters bottom-up 2804 10_06_2020 18_13.txt"	"bottom-up"
"2009"	"Parameters bottom-up 2805 10_06_2020 18_13.txt"	"bottom-up"
"2010"	"Parameters bottom-up 2806 10_06_2020 18_13.txt"	"bottom-up"
"2011"	"Parameters bottom-up 2807 10_06_2020 18_13.txt"	"bottom-up"
"2012"	"Parameters bottom-up 2808 10_06_2020 18_13.txt"	"bottom-up"
"2013"	"Parameters bottom-up 2809 10_06_2020 18_13.txt"	"bottom-up"
"2014"	"Parameters bottom-up 281 10_06_2020 18_00.txt"	"bottom-up"
"2015"	"Parameters bottom-up 2810 10_06_2020 18_13.txt"	"bottom-up"
"2016"	"Parameters bottom-up 2811 10_06_2020 18_13.txt"	"bottom-up"
"2017"	"Parameters bottom-up 2812 10_06_2020 18_13.txt"	"bottom-up"
"2018"	"Parameters bottom-up 2813 10_06_2020 18_13.txt"	"bottom-up"
"2019"	"Parameters bottom-up 2814 10_06_2020 18_13.txt"	"bottom-up"
"2020"	"Parameters bottom-up 2815 10_06_2020 18_13.txt"	"bottom-up"
"2021"	"Parameters bottom-up 2816 10_06_2020 18_13.txt"	"bottom-up"
"2022"	"Parameters bottom-up 2817 10_06_2020 18_13.txt"	"bottom-up"
"2023"	"Parameters bottom-up 2818 10_06_2020 18_13.txt"	"bottom-up"
"2024"	"Parameters bottom-up 2819 10_06_2020 18_13.txt"	"bottom-up"
"2025"	"Parameters bottom-up 282 10_06_2020 18_00.txt"	"bottom-up"
"2026"	"Parameters bottom-up 2820 10_06_2020 18_13.txt"	"bottom-up"
"2027"	"Parameters bottom-up 2821 10_06_2020 18_13.txt"	"bottom-up"
"2028"	"Parameters bottom-up 2822 10_06_2020 18_13.txt"	"bottom-up"
"2029"	"Parameters bottom-up 2823 10_06_2020 18_13.txt"	"bottom-up"
"2030"	"Parameters bottom-up 2824 10_06_2020 18_13.txt"	"bottom-up"
"2031"	"Parameters bottom-up 2825 10_06_2020 18_13.txt"	"bottom-up"
"2032"	"Parameters bottom-up 2826 10_06_2020 18_13.txt"	"bottom-up"
"2033"	"Parameters bottom-up 2827 10_06_2020 18_13.txt"	"bottom-up"
"2034"	"Parameters bottom-up 2828 10_06_2020 18_13.txt"	"bottom-up"
"2035"	"Parameters bottom-up 2829 10_06_2020 18_13.txt"	"bottom-up"
"2036"	"Parameters bottom-up 283 10_06_2020 18_00.txt"	"bottom-up"
"2037"	"Parameters bottom-up 2830 10_06_2020 18_13.txt"	"bottom-up"
"2038"	"Parameters bottom-up 2831 10_06_2020 18_13.txt"	"bottom-up"
"2039"	"Parameters bottom-up 2832 10_06_2020 18_13.txt"	"bottom-up"
"2040"	"Parameters bottom-up 2833 10_06_2020 18_13.txt"	"bottom-up"
"2041"	"Parameters bottom-up 2834 10_06_2020 18_13.txt"	"bottom-up"
"2042"	"Parameters bottom-up 2835 10_06_2020 18_13.txt"	"bottom-up"
"2043"	"Parameters bottom-up 2836 10_06_2020 18_13.txt"	"bottom-up"
"2044"	"Parameters bottom-up 2837 10_06_2020 18_13.txt"	"bottom-up"
"2045"	"Parameters bottom-up 2838 10_06_2020 18_13.txt"	"bottom-up"
"2046"	"Parameters bottom-up 2839 10_06_2020 18_13.txt"	"bottom-up"
"2047"	"Parameters bottom-up 284 10_06_2020 18_00.txt"	"bottom-up"
"2048"	"Parameters bottom-up 2840 10_06_2020 18_13.txt"	"bottom-up"
"2049"	"Parameters bottom-up 2841 10_06_2020 18_13.txt"	"bottom-up"
"2050"	"Parameters bottom-up 2842 10_06_2020 18_13.txt"	"bottom-up"
"2051"	"Parameters bottom-up 2843 10_06_2020 18_13.txt"	"bottom-up"
"2052"	"Parameters bottom-up 2844 10_06_2020 18_13.txt"	"bottom-up"
"2053"	"Parameters bottom-up 2845 10_06_2020 18_13.txt"	"bottom-up"
"2054"	"Parameters bottom-up 2846 10_06_2020 18_13.txt"	"bottom-up"
"2055"	"Parameters bottom-up 2847 10_06_2020 18_13.txt"	"bottom-up"
"2056"	"Parameters bottom-up 2848 10_06_2020 18_13.txt"	"bottom-up"
"2057"	"Parameters bottom-up 2849 10_06_2020 18_13.txt"	"bottom-up"
"2058"	"Parameters bottom-up 285 10_06_2020 18_00.txt"	"bottom-up"
"2059"	"Parameters bottom-up 2850 10_06_2020 18_13.txt"	"bottom-up"
"2060"	"Parameters bottom-up 2851 10_06_2020 18_13.txt"	"bottom-up"
"2061"	"Parameters bottom-up 2852 10_06_2020 18_13.txt"	"bottom-up"
"2062"	"Parameters bottom-up 2853 10_06_2020 18_13.txt"	"bottom-up"
"2063"	"Parameters bottom-up 2854 10_06_2020 18_13.txt"	"bottom-up"
"2064"	"Parameters bottom-up 2855 10_06_2020 18_13.txt"	"bottom-up"
"2065"	"Parameters bottom-up 2856 10_06_2020 18_13.txt"	"bottom-up"
"2066"	"Parameters bottom-up 2857 10_06_2020 18_13.txt"	"bottom-up"
"2067"	"Parameters bottom-up 2858 10_06_2020 18_13.txt"	"bottom-up"
"2068"	"Parameters bottom-up 2859 10_06_2020 18_13.txt"	"bottom-up"
"2069"	"Parameters bottom-up 286 10_06_2020 18_00.txt"	"bottom-up"
"2070"	"Parameters bottom-up 2860 10_06_2020 18_13.txt"	"bottom-up"
"2071"	"Parameters bottom-up 2861 10_06_2020 18_13.txt"	"bottom-up"
"2072"	"Parameters bottom-up 2862 10_06_2020 18_13.txt"	"bottom-up"
"2073"	"Parameters bottom-up 2863 10_06_2020 18_13.txt"	"bottom-up"
"2074"	"Parameters bottom-up 2864 10_06_2020 18_13.txt"	"bottom-up"
"2075"	"Parameters bottom-up 2865 10_06_2020 18_13.txt"	"bottom-up"
"2076"	"Parameters bottom-up 2866 10_06_2020 18_13.txt"	"bottom-up"
"2077"	"Parameters bottom-up 2867 10_06_2020 18_13.txt"	"bottom-up"
"2078"	"Parameters bottom-up 2868 10_06_2020 18_13.txt"	"bottom-up"
"2079"	"Parameters bottom-up 2869 10_06_2020 18_13.txt"	"bottom-up"
"2080"	"Parameters bottom-up 287 10_06_2020 18_01.txt"	"bottom-up"
"2081"	"Parameters bottom-up 2870 10_06_2020 18_13.txt"	"bottom-up"
"2082"	"Parameters bottom-up 2871 10_06_2020 18_13.txt"	"bottom-up"
"2083"	"Parameters bottom-up 2872 10_06_2020 18_13.txt"	"bottom-up"
"2084"	"Parameters bottom-up 2873 10_06_2020 18_13.txt"	"bottom-up"
"2085"	"Parameters bottom-up 2874 10_06_2020 18_13.txt"	"bottom-up"
"2086"	"Parameters bottom-up 2875 10_06_2020 18_13.txt"	"bottom-up"
"2087"	"Parameters bottom-up 2876 10_06_2020 18_13.txt"	"bottom-up"
"2088"	"Parameters bottom-up 2877 10_06_2020 18_13.txt"	"bottom-up"
"2089"	"Parameters bottom-up 2878 10_06_2020 18_13.txt"	"bottom-up"
"2090"	"Parameters bottom-up 2879 10_06_2020 18_13.txt"	"bottom-up"
"2091"	"Parameters bottom-up 288 10_06_2020 18_01.txt"	"bottom-up"
"2092"	"Parameters bottom-up 2880 10_06_2020 18_13.txt"	"bottom-up"
"2093"	"Parameters bottom-up 2881 10_06_2020 18_13.txt"	"bottom-up"
"2094"	"Parameters bottom-up 2882 10_06_2020 18_13.txt"	"bottom-up"
"2095"	"Parameters bottom-up 2883 10_06_2020 18_13.txt"	"bottom-up"
"2096"	"Parameters bottom-up 2884 10_06_2020 18_13.txt"	"bottom-up"
"2097"	"Parameters bottom-up 2885 10_06_2020 18_13.txt"	"bottom-up"
"2098"	"Parameters bottom-up 2886 10_06_2020 18_13.txt"	"bottom-up"
"2099"	"Parameters bottom-up 2887 10_06_2020 18_13.txt"	"bottom-up"
"2100"	"Parameters bottom-up 2888 10_06_2020 18_13.txt"	"bottom-up"
"2101"	"Parameters bottom-up 2889 10_06_2020 18_13.txt"	"bottom-up"
"2102"	"Parameters bottom-up 289 10_06_2020 18_01.txt"	"bottom-up"
"2103"	"Parameters bottom-up 2890 10_06_2020 18_13.txt"	"bottom-up"
"2104"	"Parameters bottom-up 2891 10_06_2020 18_13.txt"	"bottom-up"
"2105"	"Parameters bottom-up 2892 10_06_2020 18_13.txt"	"bottom-up"
"2106"	"Parameters bottom-up 2893 10_06_2020 18_13.txt"	"bottom-up"
"2107"	"Parameters bottom-up 2894 10_06_2020 18_13.txt"	"bottom-up"
"2108"	"Parameters bottom-up 2895 10_06_2020 18_14.txt"	"bottom-up"
"2109"	"Parameters bottom-up 2896 10_06_2020 18_14.txt"	"bottom-up"
"2110"	"Parameters bottom-up 2897 10_06_2020 18_14.txt"	"bottom-up"
"2111"	"Parameters bottom-up 2898 10_06_2020 18_14.txt"	"bottom-up"
"2112"	"Parameters bottom-up 2899 10_06_2020 18_14.txt"	"bottom-up"
"2113"	"Parameters bottom-up 29 10_06_2020 17_59.txt"	"bottom-up"
"2114"	"Parameters bottom-up 290 10_06_2020 18_01.txt"	"bottom-up"
"2115"	"Parameters bottom-up 2900 10_06_2020 18_14.txt"	"bottom-up"
"2116"	"Parameters bottom-up 2901 10_06_2020 18_14.txt"	"bottom-up"
"2117"	"Parameters bottom-up 2902 10_06_2020 18_14.txt"	"bottom-up"
"2118"	"Parameters bottom-up 2903 10_06_2020 18_14.txt"	"bottom-up"
"2119"	"Parameters bottom-up 2904 10_06_2020 18_14.txt"	"bottom-up"
"2120"	"Parameters bottom-up 2905 10_06_2020 18_14.txt"	"bottom-up"
"2121"	"Parameters bottom-up 2906 10_06_2020 18_14.txt"	"bottom-up"
"2122"	"Parameters bottom-up 2907 10_06_2020 18_14.txt"	"bottom-up"
"2123"	"Parameters bottom-up 2908 10_06_2020 18_14.txt"	"bottom-up"
"2124"	"Parameters bottom-up 2909 10_06_2020 18_14.txt"	"bottom-up"
"2125"	"Parameters bottom-up 291 10_06_2020 18_01.txt"	"bottom-up"
"2126"	"Parameters bottom-up 2910 10_06_2020 18_14.txt"	"bottom-up"
"2127"	"Parameters bottom-up 2911 10_06_2020 18_14.txt"	"bottom-up"
"2128"	"Parameters bottom-up 2912 10_06_2020 18_14.txt"	"bottom-up"
"2129"	"Parameters bottom-up 2913 10_06_2020 18_14.txt"	"bottom-up"
"2130"	"Parameters bottom-up 2914 10_06_2020 18_14.txt"	"bottom-up"
"2131"	"Parameters bottom-up 2915 10_06_2020 18_14.txt"	"bottom-up"
"2132"	"Parameters bottom-up 2916 10_06_2020 18_14.txt"	"bottom-up"
"2133"	"Parameters bottom-up 2917 10_06_2020 18_14.txt"	"bottom-up"
"2134"	"Parameters bottom-up 2918 10_06_2020 18_14.txt"	"bottom-up"
"2135"	"Parameters bottom-up 2919 10_06_2020 18_14.txt"	"bottom-up"
"2136"	"Parameters bottom-up 292 10_06_2020 18_01.txt"	"bottom-up"
"2137"	"Parameters bottom-up 2920 10_06_2020 18_14.txt"	"bottom-up"
"2138"	"Parameters bottom-up 2921 10_06_2020 18_14.txt"	"bottom-up"
"2139"	"Parameters bottom-up 2922 10_06_2020 18_14.txt"	"bottom-up"
"2140"	"Parameters bottom-up 2923 10_06_2020 18_14.txt"	"bottom-up"
"2141"	"Parameters bottom-up 2924 10_06_2020 18_14.txt"	"bottom-up"
"2142"	"Parameters bottom-up 2925 10_06_2020 18_14.txt"	"bottom-up"
"2143"	"Parameters bottom-up 2926 10_06_2020 18_14.txt"	"bottom-up"
"2144"	"Parameters bottom-up 2927 10_06_2020 18_14.txt"	"bottom-up"
